Optical Power Monitor,,,,,,,
6.5.5217.15,,,,,,,
Delimiter Used: , ',',,,,,
,,,,,,,
Start of Measurement , 9/29/2025 16:00:38,,,,,,
Sample Interval , 10 s,,,,,,
, PM100D 250207512, PM100D 14101752,,,,,
Type, PM100D, PM100D,,,,,
Serialnumber, P0037408, P0009211,,,,,
Sensor, S121C, S121C,,,,,
SensorSerialnumber,250207512,14101752,,,,,
Wavelength / Responsivity, 852 nm, 852 nm,,,,,
,,,,,,,
,,,PM100D 250207512, PM100D 250207512, PM100D 14101752, PM100D 14101752, 
Samples ,Date,Time,7512Power (W),7512Temperature (°C),1752Power (W),1752Temperature (°C),
280, 9/29/2025, 16:47:23.531,0.017309,21.799,0.033926,21.563,
281, 9/29/2025, 16:47:33.561,0.017304,21.797,0.033928,21.553,
282, 9/29/2025, 16:47:43.568,0.017311,21.796,0.033923,21.546,
283, 9/29/2025, 16:47:53.590,0.017302,21.796,0.033922,21.535,
284, 9/29/2025, 16:48:03.606,0.017308,21.797,0.03393,21.52,
285, 9/29/2025, 16:48:13.634,0.017311,21.794,0.033931,21.508,
286, 9/29/2025, 16:48:23.648,0.017304,21.793,0.033931,21.499,
287, 9/29/2025, 16:48:33.658,0.017306,21.792,0.033924,21.489,
288, 9/29/2025, 16:48:43.673,0.017314,21.793,0.033934,21.491,
289, 9/29/2025, 16:48:53.694,0.017307,21.793,0.03393,21.487,
290, 9/29/2025, 16:49:03.698,0.017294,21.793,0.033927,21.486,
291, 9/29/2025, 16:49:13.723,0.017312,21.792,0.033932,21.483,
292, 9/29/2025, 16:49:23.741,0.017294,21.786,0.033934,21.472,
293, 9/29/2025, 16:49:33.758,0.017296,21.791,0.033934,21.458,
294, 9/29/2025, 16:49:43.778,0.017298,21.788,0.033933,21.441,
295, 9/29/2025, 16:49:53.784,0.017314,21.788,0.033932,21.436,
296, 9/29/2025, 16:50:03.809,0.017314,21.777,0.033926,21.43,
297, 9/29/2025, 16:50:13.810,0.017302,21.776,0.033927,21.426,
298, 9/29/2025, 16:50:23.827,0.017299,21.773,0.033929,21.434,
299, 9/29/2025, 16:50:33.830,0.017307,21.776,0.033927,21.436,
300, 9/29/2025, 16:50:43.857,0.017307,21.77,0.033928,21.447,
301, 9/29/2025, 16:50:53.862,0.017303,21.775,0.033923,21.464,
302, 9/29/2025, 16:51:03.889,0.017303,21.768,0.033928,21.475,
303, 9/29/2025, 16:51:13.904,0.017305,21.767,0.033924,21.482,
304, 9/29/2025, 16:51:23.919,0.017305,21.768,0.033923,21.483,
305, 9/29/2025, 16:51:33.949,0.017305,21.768,0.033917,21.487,
306, 9/29/2025, 16:51:43.965,0.017315,21.759,0.033918,21.488,
307, 9/29/2025, 16:51:53.984,0.017306,21.771,0.033916,21.489,
308, 9/29/2025, 16:52:03.987,0.017308,21.763,0.033915,21.49,
309, 9/29/2025, 16:52:14.002,0.017301,21.773,0.033915,21.491,
310, 9/29/2025, 16:52:24.013,0.017302,21.767,0.033914,21.495,
311, 9/29/2025, 16:52:34.043,0.017303,21.762,0.033917,21.498,
312, 9/29/2025, 16:52:44.068,0.017304,21.765,0.033914,21.495,
313, 9/29/2025, 16:52:54.073,0.017302,21.754,0.033917,21.502,
314, 9/29/2025, 16:53:04.098,0.017303,21.762,0.033915,21.496,
315, 9/29/2025, 16:53:14.105,0.0173,21.76,0.03392,21.495,
316, 9/29/2025, 16:53:24.105,0.017305,21.758,0.033915,21.494,
317, 9/29/2025, 16:53:34.130,0.017299,21.765,0.033917,21.49,
318, 9/29/2025, 16:53:44.130,0.017295,21.766,0.033923,21.488,
319, 9/29/2025, 16:53:54.131,0.017301,21.772,0.033916,21.489,
320, 9/29/2025, 16:54:04.147,0.017304,21.764,0.033919,21.488,
321, 9/29/2025, 16:54:14.174,0.017306,21.763,0.033918,21.486,
322, 9/29/2025, 16:54:24.176,0.017306,21.752,0.033917,21.481,
323, 9/29/2025, 16:54:34.204,0.017307,21.759,0.03393,21.472,
324, 9/29/2025, 16:54:44.229,0.017296,21.749,0.033923,21.456,
325, 9/29/2025, 16:54:54.237,0.017294,21.754,0.033929,21.438,
326, 9/29/2025, 16:55:04.251,0.01731,21.751,0.033922,21.426,
327, 9/29/2025, 16:55:14.251,0.017308,21.745,0.033928,21.419,
328, 9/29/2025, 16:55:24.278,0.017313,21.744,0.033919,21.413,
329, 9/29/2025, 16:55:34.285,0.017314,21.739,0.033922,21.414,
330, 9/29/2025, 16:55:44.313,0.017294,21.736,0.033929,21.412,
331, 9/29/2025, 16:55:54.336,0.017304,21.738,0.033925,21.411,
332, 9/29/2025, 16:56:04.352,0.017312,21.735,0.033928,21.414,
